$VAR__
Name|Platform|Year|Publisher|Global_Sales
Bakumatsu Renka: Karyuu Kenshi-den|PS2|2007|D3Publisher|0.02
Ghosthunter|PS2|2003|Sony Computer Entertainment|0.09
Rain (2013)|PS3|2013|Sony Computer Entertainment|0.05
Doom|PC|1992|id Software|0.03
Madden NFL 07|XB|2006|Electronic Arts|1.02
Phantasy Star Ø|DS|2008|Sega|0.38
Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita|PSP|2007|Nippon Ichi Software|0.03
Battle Soccer: Field no Hasha|SNES|1992|Banpresto|0.16
Avatar: The Last Airbender|GC|2006|THQ|0.5
Lego Batman 3: Beyond Gotham|X360|2014|Warner Bros. Interactive Entertainment|0.95
Famicom Mini: Balloon Fight|GBA|2004|Nintendo|0.06
Stronghold Kingdoms|PC|2011|DTP Entertainment|0.11
Busy Scissors|Wii|2010|Little Orbit|0.09
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten|DS|2009|Mentor Interactive|0.31
Your Shape featuring Jenny McCarthy|Wii|2009|Ubisoft|2.16
Major League Baseball 2K5|PS2|2005|Take-Two Interactive|1.48
Countdown: The Game|DS|2009|Mindscape|0.15
Ghostbusters: The Video Game|DS|2009|Atari|0.41
Pokémon Crystal Version|GB|2000|Nintendo|6.39
Dungeons & Dragons Heroes|XB|2003|Atari|0.26
Sengoku Basara 4: Sumeragi|PS3|2015|Capcom|0.09
College Hoops 2K6|PS2|N/A|Unknown|0.25
Jinguuji Saburou DS: Akai Chou|DS|2010|Arc System Works|0.02
Bleach: Heat the Soul 4|PSP|2007|Sony Computer Entertainment|0.08
Winter Sports 3: The Great Tournament|PS3|2010|Tradewest|0.04
RollerCoaster Tycoon|XB|2003|Atari|0.13
Farm Frenzy: Animal Country|DS|2009|City Interactive|0.15
Hot Shots Tennis|PS2|2006|Sony Computer Entertainment|0.9
Just Dance 3|Wii|2011|Ubisoft|10.26
Crash: Mind Over Mutant|X360|2008|Vivendi Games|0.48
Rune Factory 4|3DS|2012|Xseed Games|0.55
Bottom of the 9th '97|PS|1997|Konami Digital Entertainment|0.02
NieR|X360|2010|Square Enix|0.29
Star Wars Rogue Leader: Rogue Squadron II|GC|2001|LucasArts|1.9
Odin Sphere: Leifthrasir|PS3|2016|Nippon Ichi Software|0.06
Grabbed by the Ghoulies|XB|2003|Microsoft Game Studios|0.14
BioShock 2|X360|2010|Take-Two Interactive|2.21
ESPN International Winter Sports 2002|PS2|2002|Konami Digital Entertainment|0.06
StormLover Karen!!|PSP|2011|D3Publisher|0.02
Genji: Days of the Blade|PS3|2006|Sony Computer Entertainment|0.76
Disney's The Little Mermaid: Ariel's Undersea Adventure|DS|2006|Disney Interactive Studios|0.81
Dreamworks 2-in-1 Party Pack|DS|2010|Activision|0.15
MindJack|X360|2011|Square Enix|0.1
Tokimeki Memorial: Private Collection|PS|1996|Konami Digital Entertainment|0.17
Brink|X360|2011|Bethesda Softworks|1.04
The Adventures of Tintin: The Game|Wii|2011|Ubisoft|0.34
NCAA Football 2005|GC|2004|Electronic Arts|0.22
Monkey Island: Special Edition Collection|PC|2011|LucasArts|0.17
Hitman: Blood Money|XB|2006|Eidos Interactive|0.14
San-X Land: Theme Park de Asobou!|DS|2006|MTO|0.04
Child of Light|PS4|2014|Ubisoft|0.05
Gremlins|2600|1983|Atari|0.46
SOCOM: U.S. Navy SEALs: Combined Assault|PS2|2006|Sony Computer Entertainment|2.04
Atelier Ayesha: The Alchemist of Dusk|PSV|2014|Tecmo Koei|0.05
F1 2016 (Codemasters)|PS4|2016|Codemasters|0.27
PQ2: Practical Intelligence Quotient|PSP|2006|D3Publisher|0.05
Mortal Kombat 4|PS|1998|GT Interactive|1.46
Luminous Arc 2|DS|2008|Rising Star Games|0.23
Dark Souls II|X360|2014|Namco Bandai Games|0.76
Sonic Generations|PS3|2011|Sega|1.63
Charlie and the Chocolate Factory|GC|2005|Global Star|0.18
We Sing 80s|Wii|2012|Nordic Games|0.01
Barbie and Her Sisters Puppy Rescue|3DS|2015|Namco Bandai Games|0.04
Toki no Kizuna: Sekigahara Kitan|PSP|2012|Idea Factory|0.04
The Sims: Bustin' Out|XB|2003|Electronic Arts|0.56
Spartan: Total Warrior|GC|2005|Sega|0.07
Advent Rising|XB|2005|THQ|0.13
So-Ra-No-Wo-To: Otome no Gojuusou|PSP|2010|Compile Heart|0.02
Star Wars: Dark Forces|PS|1996|LucasArts|0.55
Crash Nitro Kart|GC|2003|Vivendi Games|0.26
SpongeBob SquarePants: Lights, Camera, Pants!|GBA|2005|THQ|0.51
Electroplankton|DS|2005|Nintendo|0.03
Gunship|PS|1996|Microprose|0.27
Cities in Motion Collection|PC|2011|Unknown|0.02
Reloaded|PS|1996|Gremlin Interactive Ltd|0.17
Mystic Ark|SNES|1995|Enix Corporation|0.13
Cartoon Network Collection: Game Boy Advance Video Volume 2|GBA|2004|N/A|0.08
FIFA Soccer 07|PSP|2006|Electronic Arts|1.21
Dynasty Warriors 7|PS3|2011|Tecmo Koei|0.92
Skylanders: SuperChargers|PS4|2015|Activision|0.3
Cities: Skylines|PC|2015|Paradox Interactive|0.14
Cardfight!! Vanguard: Lock On Victory!!|3DS|2014|FuRyu|0.07
Active Life: Magical Carnival|Wii|2011|Namco Bandai Games|0.05
Bratz|GBA|2002|Ubisoft|0.13
PDC World Championship Darts: Pro Tour|PS3|2010|O-Games|0.11
Puyo Puyo! 15th Anniversary|DS|2006|Sega|0.28
Summon Night 6: Lost Borders|PS4|2016|Namco Bandai Games|0.03
The Bombing Islands|PS|1997|Kemco|0.14
UNO 52|DS|2006|Zoo Digital Publishing|0.02
Spyro: Enter the Dragonfly|GC|2002|Universal Interactive|0.71
Vigilante 8: 2nd Offense|PS|1999|Activision|0.48
Wonder World Amusement Park|Wii|2008|Majesco Entertainment|0.05
Don King Boxing|Wii|2009|Take-Two Interactive|0.27
Kingdoms of Amalur: Reckoning|X360|2012|Electronic Arts|0.89
Criminal Girls: Invite Only|PSP|2010|Nippon Ichi Software|0.08
Kiniro no Corda 3|PS2|2010|Tecmo Koei|0.03
Frogger: Ancient Shadow|XB|2005|Konami Digital Entertainment|0.03
Final Fantasy IV: The Complete Collection|PSP|2011|Square Enix|0.56
Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B|DS|2007|Namco Bandai Games|0.08
FunkMaster Flex's Digital Hitz Factory|PS2|2003|Jester Interactive|0.04
Monster Hunter Freedom 2|PS3|2011|Capcom|0.5
Perfect Weapon|PS|1996|American Softworks|0.23
Demon Attack|2600|1981|Imagic|2.13
Winning Eleven: Pro Evolution Soccer 2007|PSP|2006|Konami Digital Entertainment|0.86
Gameboy Gallery|GB|1995|Nintendo|0.3
KORG DS-10 Synthesizer|DS|2008|AQ Interactive|0.22
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku|PS3|N/A|N/A|0.02
Kung Fu Panda: Legendary Warriors|DS|2008|Activision|0.03
Bomberman Max 2: Blue Advance|GBA|2002|Vivendi Games|0.09
Tournament of Legends|Wii|2010|Sega|0.07
Transformers: Fall of Cybertron|PS3|2012|Activision|0.41
Bakemonogatari Portable|PSP|2012|Namco Bandai Games|0.05
Pajama Sam: Don't Fear The Dark|Wii|2008|Atari|0.1
Metal Slug Anthology|Wii|2006|Ignition Entertainment|0.15
Crash Tag Team Racing|PSP|2005|Vivendi Games|0.26
Challenge Me: Brain Puzzles 2|Wii|2010|O-Games|0.07
Sousaku Alice to Oujisama!|3DS|2015|Happinet|0.01
Outlaw Volleyball Remixed|PS2|2004|Global Star|0.04
Juiced 2: Hot Import Nights|PSP|2007|THQ|0.37
Tropico 5|X360|2014|Kalypso Media|0.07
FIFA Soccer 10|PS3|2009|Electronic Arts|3.63
Kidou Senshi Gundam: Senjou no Kizuna Portable|PSP|2009|Namco Bandai Games|0.18
Dreamer Series: Puppy Trainer|DS|2008|DreamCatcher Interactive|0.05
The Void|PC|2008|Mamba Games|0.03
Famicom Mini: Wrecking Crew|GBA|2004|Nintendo|0.07
Backyard Baseball '10|Wii|2009|Atari|0.11
Taishou Moebius Line Vitable|PSV|2016|dramatic create|0.02
International Superstar Soccer 64|N64|1997|Konami Digital Entertainment|0.6
Virus|SAT|1997|Hudson Soft|0.08
Jurassic Park|NES|1993|Ocean|0.36
Ro-Kyu-Bu!|PSP|2011|Kadokawa Shoten|0.08
NPPL: Championship Paintball 2009|PS2|2008|Activision Value|0.26
NFL Quarterback Club 98|N64|1997|Acclaim Entertainment|1.06
Project CARS|PC|2015|Slightly Mad Studios|0.11
Final Fantasy Tactics A2: Grimoire of the Rift|DS|2007|Square Enix|0.79
T'ai Fu: Wrath of the Tiger|PS|1998|Activision|0.15
Dynasty Warriors: Gundam Reborn|PSV|2013|Namco Bandai Games|0.13
Spider-Man: Battle for New York|DS|2006|Activision|0.13
Ishin Renka: Ryouma Gaiden|PSP|2010|D3Publisher|0.01
Legends of Wrestling II|XB|2002|Acclaim Entertainment|0.13
Monsters, Inc.|PS2|2002|Sony Computer Entertainment|0.32
Yu-Gi-Oh! The Sacred Cards (American and Others sales)|GBA|2002|Konami Digital Entertainment|1.16
Grand Theft Auto: Liberty City Stories|PS2|2006|Take-Two Interactive|3.54
Jimmy Neutron: Boy Genius|PS2|2002|THQ|0.41
Pokemon Mystery Dungeon: Gates to Infinity|3DS|2012|Nintendo|1.27
Peter Jackson's King Kong: The Official Game of the Movie|DS|2005|Ubisoft|0.13
X-Men: Children of the Atom|SAT|1995|Acclaim Entertainment|0.21
Imagine: Babyz Fashion|DS|2009|Ubisoft|0.2
Blood Omen 2|XB|2002|Eidos Interactive|0.19
Madden NFL 13|Wii|2012|Electronic Arts|0.54
Legends of WrestleMania|X360|2009|THQ|0.4
Skylanders: Trap Team|Wii|2014|Activision|1.05
Battlefield 4|PS4|2013|Electronic Arts|3.43
Still Life 2|PC|2009|Rondomedia|0.02
Harry Potter and the Goblet of Fire|GBA|2005|Electronic Arts|0.61
Sotsugyou II: Neo Generation Special|3DO|1995|Imageworks|0.02
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves|Wii|2008|Namco Bandai Games|0.28
Yu-Gi-Oh! Monster Capture GB|GB|2000|Konami Digital Entertainment|0.14
Gyakuten Saiban 3|GBA|2004|Capcom|0.17
Real Heroes: Firefighter|Wii|2009|Rondomedia|0.65
Harry Potter and the Prisoner of Azkaban|XB|2004|Electronic Arts|0.19
Dragon Warrior I&II|GB|1999|Enix Corporation|0.77
UEFA Champions League 2006-2007|X360|2007|Electronic Arts|0.05
Ghostbusters: The Video Game|PS3|2009|Sony Computer Entertainment|0.86
Frogger's Adventures: The Rescue|GC|2003|Konami Digital Entertainment|0.15
Army Men: Air Attack 2|PS|2000|3DO|0.3
Kung-Fu Master|2600|1987|Activision|0.65
Tony Hawk: Shred|PS3|2010|Activision|0.28
NES Open Tournament Golf|NES|1991|Nintendo|1
Madden NFL 08|PS3|2007|Electronic Arts|0.97
MX 2002 Featuring Ricky Carmichael|GBA|2001|THQ|0.16
MLB 10: The Show|PSP|2010|Sony Computer Entertainment|0.2
Pet in TV|PS|1997|Sony Computer Entertainment|0.4
Luminous Arc|DS|2007|Rising Star Games|0.24
Marble Madness / Klax|GBA|2005|Zoo Digital Publishing|0.03
Ghost Rider|PSP|2007|Take-Two Interactive|0.24
Imagine: Salon Stylist|DS|2009|Ubisoft|0.38
Littlest Pet Shop|Wii|2008|Electronic Arts|0.41
DJ Star|DS|2009|Deep Silver|0.02
Napoleon Dynamite: The Game|PSP|2007|Crave Entertainment|0.04
Planet Puzzle League|DS|2007|Nintendo|0.33
Discovery Kids: Pony Paradise|DS|2009|505 Games|0.2
Wii Sports Club|WiiU|2014|Nintendo|0.4
Sniper Elite 3|PS3|2014|505 Games|0.31
Spirits & Spells|GC|2003|Wanadoo|0.02
SimCity Creator (JP sales)|DS|2008|Electronic Arts|0.18
Bleach: Blade Battlers|PS2|2006|Sony Computer Entertainment|0.05
Dance Party: Pop Hits|Wii|2009|Nordic Games|0.39
Nightshade|PS2|2003|Sega|0.12
Grand Prix|2600|1981|Activision|0.48
Jurassic: The Hunted|PS3|2009|Activision|0.19
American Chopper 2: Full Throttle|GC|2005|Activision|0.05
Fantastic Four: Rise of the Silver Surfer|DS|2007|Take-Two Interactive|0.05
Assassination Classroom: Grand Siege on Kuro-sensei|3DS|2015|Namco Bandai Games|0.13
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!|WiiU|2015|Namco Bandai Games|0.06
Let's Pilates!|DS|2007|Konami Digital Entertainment|0.02
NHL 07|PS2|2006|Electronic Arts|0.51
SD Gundam G Generation-F|PS|2000|Namco Bandai Games|0.38
ATV Quad Power Racing 2|GC|2003|Acclaim Entertainment|0.28
Super Jinsei Game 2|SNES|1995|Takara|0.05
FIFA Soccer 64|N64|1997|Electronic Arts|0.49
Reel Fishing Paradise 3D|3DS|2011|Marvelous Interactive|0.19
Silent Hill: Shattered Memories|PS2|2010|Konami Digital Entertainment|0.59
Virtua Tennis 2009|PS3|2009|Sega|0.38
James Bond 007: Nightfire|GBA|2003|Electronic Arts|0.13
Ride to Hell|PS3|2013|Deep Silver|0.05
Neverwinter Nights Diamond|PC|2004|Atari|0.03
Atelier Iris 3: Grand Phantasm (US Sales)|PS2|2006|Tecmo Koei|0.29
Tiger Woods PGA Tour 2004|XB|2003|Electronic Arts|0.62
ESPN National Hockey Night|PS2|2001|Konami Digital Entertainment|0.07
Shrek SuperSlam|GBA|2005|Activision|0.33
From Russia With Love|GC|2005|Electronic Arts|0.22
Motocross Mania|PS|2001|Take-Two Interactive|0.79
Merv Griffin's Crosswords|DS|2008|ValuSoft|0.03
PachiPara 14: Fuu to Kumo to Super Umi in Okinawa|PS2|2007|Irem Software Engineering|0.05
NBA 2K6|X360|2005|Take-Two Interactive|0.23
NCAA Football 2001|PS|2000|Electronic Arts|0.7
EyeToy: AntiGrav|PS2|2004|Sony Computer Entertainment|0.43
Tekken 3D: Prime Edition|3DS|2012|Nintendo|0.2
Astro Boy: The Video Game|DS|2009|D3Publisher|0.1
Battle Arena Toshinden 2|PS|1995|Sony Computer Entertainment|0.71
NHL 06|PS2|2005|Electronic Arts|0.58
Pro Yakyuu Family Stadium '87|NES|1987|Namco Bandai Games|1.42
Namco Museum Battle Collection|PSP|2005|Sony Computer Entertainment|1.09
3D Lemmings|PS|1995|Psygnosis|0.06
Picture Perfect Hair Salon|DS|2009|505 Games|0.07
Hitman 2: Silent Assassin|XB|N/A|Eidos Interactive|1.19
Jampack Summer '99|PS|1999|Sony Computer Entertainment|0.96
Purr Pals|DS|2007|THQ|0.56
Major League Baseball 2K9|PS2|2009|Spike|0.17
Gex 3: Deep Cover Gecko|PS|1999|Eidos Interactive|0.53
Kenka Banchou 4: Ichinen Sensou|PSP|2010|Spike|0.19
Bomberman B-Daman|SNES|1996|Hudson Soft|0.17
Elf Bowling 1 & 2|GBA|2005|Ignition Entertainment|0.03
1000 Cooking Recipes from ELLE à table|DS|2010|Nintendo|0.03
Fable III|PC|2011|Microsoft Game Studios|0.32
GunPey DS|DS|2006|Atari|0.05
Tom Clancy's Rainbow Six: Critical Hour|XB|N/A|Unknown|0.06
Metal Gear Solid: Peace Walker|PSP|2010|Konami Digital Entertainment|2.09
Macross Digital Mission VF-X|PS|1997|Namco Bandai Games|0.3
The Elder Scrolls V: Skyrim|PS3|2011|Bethesda Softworks|6.56
F1 2010|PS3|2010|Codemasters|1.35
Metal Gear Solid 3: Subsistence|PS2|2005|Konami Digital Entertainment|0.55
Winning Post 7 Maximum 2008|PS2|2008|Tecmo Koei|0.01
Runaway: A Twist of Fate|PC|2009|Focus Home Interactive|0.04
Teenage Mutant Ninja Turtles|XB|2003|Konami Digital Entertainment|0.3
Totally Spies! Totally Party|PS2|2008|Ubisoft|0.01
Monster Hunter Frontier Online: Forward 2|X360|2011|Capcom|0.03
Baldur's Gate: Dark Alliance II|XB|2004|Acclaim Entertainment|0.26
Madden NFL 2005|PS2|2004|Electronic Arts|4.53
LEGO Pirates of the Caribbean: The Video Game|DS|2011|Disney Interactive Studios|0.96
Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku|DS|2006|Nintendo|0.05
Total Overdose: A Gunslinger's Tale in Mexico|PS2|2005|Eidos Interactive|0.09
Magicka|PC|2011|Paradox Interactive|0.03
Rugby World Cup 2015|PC|2015|Ubisoft|0.01
Band Hero|X360|2009|Activision|0.8
Legend of the Guardians: The Owls of Ga'Hoole|Wii|2010|Warner Bros. Interactive Entertainment|0.13
Just Dance Wii|Wii|2011|Nintendo|0.73
The Evil Within|XOne|2014|Bethesda Softworks|0.65
G.I. Joe: The Rise of Cobra|X360|2009|Electronic Arts|0.24
Guitar Hero: Smash Hits|Wii|2009|Activision|0.61
Frogger 3D|3DS|2011|Konami Digital Entertainment|0.2
Mercenaries 2: World in Flames|PS2|2008|Electronic Arts|0.38
Republique|PS4|2016|Nippon Ichi Software|0.01
Eyeshield 21: Portable Edition|PSP|2006|Konami Digital Entertainment|0.02
TOCA Touring Car Championship|PS|1997|Codemasters|2.28
Family Game Night 4: The Game Show|PS3|2011|Electronic Arts|0.11
Bakugan Battle Brawlers: Defenders of the Core|PS3|2010|Activision|0.17
World Soccer Winning Eleven 7 International|PS2|2003|Konami Digital Entertainment|2.9
Tales of the Tempest|DS|2006|Namco Bandai Games|0.18
Hakuouki: Zuisouroku Portable|PSP|2010|Idea Factory|0.09
Sing Party|WiiU|2012|Nintendo|0.28
Dead or Alive 5|XOne|2015|Tecmo Koei|0.08
World Poker Tour|GBA|2005|Take-Two Interactive|0.01
Destiny: The Taken King|X360|2015|Activision|0.38
Jikkyou Powerful Pro Yakyuu Portable 2|PSP|2007|Konami Digital Entertainment|0.09
Rango: The Video Game|Wii|2011|Electronic Arts|0.14
Ace Combat Zero: The Belkan War|PS2|2006|Namco Bandai Games|0.51
Spectrobes: Origins|Wii|2009|Disney Interactive Studios|0.2
Yume Neko DS|DS|2008|Sega|0.02
Shadows of the Damned|PS3|2011|Electronic Arts|0.28
Frogger Beyond|GC|2002|Konami Digital Entertainment|0.13
Pirates of the Caribbean: The Legend of Jack Sparrow|PS2|2006|Ubisoft|0.25
NHL Powerplay '96|PS|1996|Virgin Interactive|0.12
TERA|PC|N/A|Unknown|0.41
Ryu-koku|PS2|2006|KID|0.02
The Amazing Spider-Man (Console Version)|WiiU|2013|Activision|0.09
HOP|DS|2011|505 Games|0.11
Yokai Watch Busters|3DS|2015|Level 5|2.28
Just Dance 2014|PS4|2013|Ubisoft|0.39
Cold War|XB|2005|DreamCatcher Interactive|0.02
Rayman 2: The Great Escape|N64|1999|Ubisoft|0.64
Grand Theft Auto IV|PS3|2008|Take-Two Interactive|10.57
Mobile Suit Gundam: Mokuba no Kiseki|PSP|2012|Namco Bandai Games|0.04
Dragon Ball: XenoVerse|XOne|2015|Namco Bandai Games|0.31
Ray Tracers|PS|1997|Sony Computer Entertainment|0.06
NASCAR 2000|N64|1999|Electronic Arts|0.53
Chopper Attack|N64|1997|GT Interactive|0.11
Tales of Legendia|PS2|2005|Namco Bandai Games|0.49
Demon's Souls|PS3|2009|Namco Bandai Games|1.84
Tiger Woods PGA Tour 08|Wii|2007|Electronic Arts|1.03
Tony Hawk's American Wasteland|XB|2005|Activision|0.62
Twin Strike: Operation Thunder|Wii|2008|Zoo Games|0.04
Big Bang Mini|DS|2009|SouthPeak Games|0.06
Parfait: Chocolat Second Style|PS2|2006|Alchemist|1.22
Hot Wheels Velocity X|GC|2002|THQ|0.11
Disney's American Dragon Jake Long: Attack of the Dark Dragon|DS|2006|Disney Interactive Studios|0.16
Pro Evolution Soccer 2012|3DS|2011|Konami Digital Entertainment|0.03
Backyard Sports Football: Rookie Rush|DS|2010|Atari|0.17
F-Zero: Maximum Velocity|GBA|2001|Nintendo|1.04
Gakusen Toshi Asterisk Festa: Houka Kenran|PSV|2016|Namco Bandai Games|0.03
Sonic & All-Stars Racing Transformed|WiiU|2012|Sega|0.53
FIFA 16|PS4|2015|Electronic Arts|8.49
Escape The Museum|Wii|2009|Majesco Entertainment|0.12
XI Coliseum|PSP|2006|Sony Computer Entertainment|0.01
Conflict: Desert Storm II - Back to Bagdhad|GC|2004|SCi|0.04
Mirror's Edge Catalyst|PC|2016|Electronic Arts|0.05
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock|PS2|2007|D3Publisher|0.02
Frontlines: Fuel of War|PC|2008|THQ|0.02
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi|PS|1998|Human Entertainment|0.38
Super Robot Taisen OG Saga: Endless Frontier (JP sales)|DS|2008|Namco Bandai Games|0.14
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken|DS|2010|Kamui|0.03
Venetica|X360|2010|DTP Entertainment|0.13
NeverDead|PS3|2012|Konami Digital Entertainment|0.13
PGA Tour 96|PS|1995|Electronic Arts|0.24
Red Ninja: End of Honor|XB|2005|Vivendi Games|0.02
NHL FaceOff 2001|PS2|2001|Sony Computer Entertainment|0.2
Prince of Persia: The Forgotten Sands|X360|2010|Ubisoft|0.62
Yu-Gi-Oh! GX: Spirit Caller (American Sales)|DS|2006|Konami Digital Entertainment|0.22
MVP Baseball 2004|PS2|2004|Electronic Arts|1.34
World Poker Tour|XB|2005|Take-Two Interactive|0.06
Operation Flashpoint: Dragon Rising|X360|2009|Codemasters|0.93
The Simpsons: Road Rage|GBA|2003|THQ|1.19
Franklin's Great Adventures|DS|2006|Game Factory|0.02
Chaotic: Shadow Warriors|Wii|2009|Activision|0.19
Handball 16|PS3|2015|Bigben Interactive|0.05
Need for Speed: ProStreet|X360|2007|Electronic Arts|2.06
DJ Max Portable 3|PSP|2010|CyberFront|0.03
Farming Simulator 2015|PC|2014|Focus Home Interactive|1.23
Alone in the Dark: Inferno|PS3|2008|Atari|0.14
Gretzky NHL 2005|PS2|2004|Sony Computer Entertainment|0.17
Disney TH!NK Fast: The Ultimate Trivia Showdown|PS2|2008|Disney Interactive Studios|0.17
Big League Sports: Summer|Wii|2009|Activision|0.09
Aquaman: Battle for Atlantis|XB|N/A|Unknown|0.01
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion|GC|2003|THQ|0.11
Jikkyou Powerful Pro Yakyuu Wii Ketteiban|Wii|2007|Konami Digital Entertainment|0.03
Fatal Frame: Maiden of Black Water|WiiU|2014|Nintendo|0.11
Wizardry: Tale of the Forsaken Land|PS2|2001|Ubisoft|0.09
Disgaea 4: A Promise Unforgotten|PS3|2011|Nippon Ichi Software|0.58
Dragon Ball Z: Budokai Tenkaichi 3|Wii|2007|Atari|1.04
The BIGS 2|PS3|2009|Take-Two Interactive|0.13
College Hoops 2K7|X360|2006|Take-Two Interactive|0.21
Grand Theft Auto: San Andreas|XB|2005|Take-Two Interactive|1.95
Last Ranker|PSP|2010|Capcom|0.13
Sid Meier's Railroads!|PC|2006|Take-Two Interactive|0.04
Motto TOEIC Test DS Training|DS|2008|IE Institute|0.04
50 Classic Games|DS|2009|Destineer|0.55
Pro Yaky? Spirits 2011|PSP|2011|Konami Digital Entertainment|0.24
Meteos|DS|2005|Nintendo|0.23
Nintendo World Cup|NES|1990|Nintendo|1.48
NHL 2K10|Wii|2009|Take-Two Interactive|0.36
NFL Blitz 20-03|XB|2002|Midway Games|0.14
Ford Mustang: The Legend Lives|PS2|2005|Take-Two Interactive|0.29
Grey's Anatomy: The Video Game|PC|2009|Ubisoft|0.02
Frostbite|2600|1983|Activision|0.34
Tomb Raider (2013)|PS4|2014|Square Enix|1.41
Disney Channel: All Star Party|Wii|2010|Disney Interactive Studios|0.29
Kelly Slater's Pro Surfer|GBA|2002|Activision|0.13
Hirameki Action: Chibikko Wagyan no Daiki na Bouken|DS|2009|Namco Bandai Games|0.01
Hiiro no Kakera 2: Hisui no Shizuku|PS2|2007|Idea Factory|0.03
BioShock The Collection|XOne|2016|Take-Two Interactive|0.08
Age of Empires III: The Asian Dynasties|PC|2007|Microsoft Game Studios|0.07
Reader Rabbit 2nd Grade|Wii|N/A|Unknown|0.05
Downtown Nekketsu Jidaigek|3DS|2015|Arc System Works|0.02
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen|PS2|2010|Konami Digital Entertainment|0.09
Labyrinth Cross Blood: Infinity|PSV|2013|CyberFront|0.03
How to Train Your Dragon|Wii|2010|Activision|0.43
Nobunaga no Yabou: Souzou|PS4|2014|Tecmo Koei|0.06
Guilty Gear XX Accent Core Plus|PSP|2008|PQube|0.08
Superman: Shadow of Apokolips|GC|2003|Atari|0.08
WWE All Stars|PS3|2011|THQ|0.42
The Beatles: Rock Band|X360|2009|MTV Games|1.31
The Wild Thornberrys: Chimp Chase|GBA|2001|THQ|0.16
Uta no * Prince-Sama: All Star|PSP|2013|Broccoli|0.12
The Witcher|PC|2007|Atari|0.06
Cold Fear|PS2|2005|Ubisoft|0.11
Shrek SuperSlam|XB|2005|Activision|0.09
Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi|PSV|2015|dramatic create|0.02
Deer Drive: Legends|3DS|2012|Maximum Family Games|0.03
Reign of Fire|GBA|2002|BAM! Entertainment|0.05
Majesty 2: The Fantasy Kingdom Sim|X360|N/A|Unknown|0.03
Cabela's Deer Hunt: 2004 Season|PS2|2003|Activision Value|0.76
The Price is Right 2010 Edition|Wii|2009|Ubisoft|0.24
Pokemon Omega Ruby/Pokemon Alpha Sapphire|3DS|2014|Nintendo|11.33
Peter Jackson's King Kong: The Official Game of the Movie|X360|2005|Ubisoft|0.26
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata|PS2|2007|Hackberry|0.09
Guitar Hero 5|PS3|2009|Activision|1.1
Shrek SuperSlam|PS2|2005|Activision|0.5
Amagoushi no Yakata|PS2|2007|Nippon Ichi Software|0.02
The LEGO Movie Videogame|PS4|2014|Warner Bros. Interactive Entertainment|0.67
Smart Girl's Playhouse|DS|2007|505 Games|0.26
The Lord of the Rings: The Return of the King|XB|2003|Electronic Arts|1.14
Jikkyou Powerful Pro Baseball 2016|PS4|2016|Konami Digital Entertainment|0.17
The Grinch|PS|1999|Konami Digital Entertainment|0.52
Field & Stream: Total Outdoorsman Challenge|X360|2010|505 Games|0.09
NBA Jam|SNES|1994|Acclaim Entertainment|1.39
Ultimate Duck Hunting|Wii|2009|Zoo Digital Publishing|0.08
Marvel Avengers: Battle for Earth|WiiU|2012|Ubisoft|0.12
Maximum Capacity: Hotel Giant|PC|2002|JoWood Productions|0.02
Azada|3DS|2012|Licensed 4U|0.02
Mahjong Fight Club|PSP|2004|Konami Digital Entertainment|0.17
TOCA Race Driver 3|PC|2006|Codemasters|0.02
Brothers Conflict: Passion Pink|PSP|2012|Idea Factory|0.03
Dungeons & Dragons: Neverwinter Nights - Complete|PC|2011|Atari|0.01
National Geographic Challenge!|Wii|2011|Black Bean Games|0.11
Disney Sports Basketball|GBA|2002|Konami Digital Entertainment|0.02
Metal Fight Beyblade|DS|2009|Hudson Soft|0.09
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure|DS|2009|Level 5|0.03
Aliens vs Predator: Requiem|PSP|2007|Vivendi Games|0.22
Condemned 2: Bloodshot|X360|2008|Sega|0.63
D.Gray-man: Sousha no Shikaku|PS2|2008|Konami Digital Entertainment|0.02
Final Fantasy VIII|PS|1999|SquareSoft|7.86
Rock Band 2|X360|2008|Electronic Arts|2.2
Tonic Trouble|N64|1999|Ubisoft|0.11
The Sum of All Fears|GC|2003|Ubisoft|0.03
Warhawk|PS3|2007|Sony Computer Entertainment|1.06
EA Sports Active 2|Wii|2010|Electronic Arts|1.3
